 |                         fit_name |       quality |   chisq/nDoF                 |
------------------------------------------------------------------------------------
 |      c__24,12_24,23__32,13_32,25 |        14.502 |   14.34/(  20 -  1) =   0.75 | F=1.79(153)*10^-2
 |       c__24,12_24,23__32,7_32,25 |         13.82 |   23.42/(  26 -  1) =   0.94 | F=1.08(93)*10^-2
 |      c__24,12_24,23__32,13_32,24 |        13.572 |   13.61/(  19 -  1) =   0.76 | F=1.86(153)*10^-2
 |      c__24,12_24,23__32,12_32,25 |        13.562 |   16.61/(  21 -  1) =   0.83 | F=2.30(149)*10^-2
 |      c__24,12_24,23__32,11_32,25 |        13.547 |   18.06/(  22 -  1) =   0.86 | F=1.94(146)*10^-2
 |    csrc__24,12_24,23__32,5_32,25 |        13.489 |   23.65/(  28 -  3) =   0.95 | F=5.13(1079)*10^-3; dmi=0.704(424); Fi=0.948(2085)
 |      c__24,12_24,24__32,13_32,23 |        13.395 |   13.77/(  19 -  1) =   0.76 | F=1.31(158)*10^-2
 |      c__24,12_24,24__32,13_32,25 |        13.378 |   16.75/(  21 -  1) =   0.84 | F=1.67(153)*10^-2
 |      c__24,12_24,24__32,13_32,24 |        13.226 |   15.41/(  20 -  1) =   0.81 | F=1.78(153)*10^-2
 |       c__24,12_24,23__32,7_32,24 |        13.121 |   22.55/(  25 -  1) =   0.94 | F=6.29(1047)*10^-3
 |      c__24,12_24,23__32,11_32,24 |        13.119 |   16.95/(  21 -  1) =   0.85 | F=1.97(146)*10^-2
 |      c__24,12_24,23__32,12_32,24 |        13.099 |   15.51/(  20 -  1) =   0.82 | F=2.34(149)*10^-2
 |      c__24,12_24,23__32,14_32,25 |        12.776 |   14.29/(  19 -  1) =   0.79 | F=1.79(153)*10^-2
 |   csnk__24,12_24,24__32,13_32,25 |        12.714 |   14.35/(  21 -  3) =   0.80 | F=1.79(153)*10^-2; dmf=7.059(7969); Ff=4.285(61827)
 |      c__24,12_24,24__32,13_32,22 |        12.676 |   12.86/(  18 -  1) =   0.76 | F=1.73(164)*10^-2
 |       c__24,12_24,24__32,7_32,24 |        12.555 |   24.30/(  26 -  1) =   0.97 | F=5.61(1046)*10^-3
 |       c__24,12_24,24__32,7_32,23 |        12.415 |   23.04/(  25 -  1) =   0.96 | F=2.82(1075)*10^-3
 |       c__24,13_24,24__32,7_32,23 |        12.383 |   21.70/(  24 -  1) =   0.94 | F=7.73(1155)*10^-3
 |      c__24,12_24,23__32,13_32,23 |         12.27 |   13.21/(  18 -  1) =   0.78 | F=1.55(161)*10^-2
 |    csrc__24,12_24,23__32,6_32,25 |        12.234 |   23.17/(  27 -  3) =   0.97 | F=8.50(1034)*10^-3; dmi=1.261(1094); Fi=3.92(2868)*10^1
 |       c__24,12_24,23__32,8_32,25 |        12.234 |   23.17/(  25 -  1) =   0.97 | F=9.89(947)*10^-3
 |      c__24,12_24,24__32,12_32,24 |        12.174 |   17.68/(  21 -  1) =   0.88 | F=2.29(149)*10^-2
 |      c__24,12_24,24__32,14_32,24 |        12.128 |   14.83/(  19 -  1) =   0.82 | F=1.78(153)*10^-2
 |       c__24,12_24,24__32,1_32,13 |        12.073 |   19.16/(  22 -  1) =   0.91 | F=-5.02(1046)*10^-3
 |      c__24,12_24,23__32,14_32,24 |        12.009 |   13.44/(  18 -  1) =   0.79 | F=1.85(153)*10^-2
 |       c__24,12_24,24__32,7_32,25 |        11.967 |   26.05/(  27 -  1) =   1.00 | F=1.21(92)*10^-2
 |       c__24,13_24,24__32,7_32,24 |        11.954 |   23.37/(  25 -  1) =   0.97 | F=1.00(114)*10^-2
 |      c__24,12_24,24__32,14_32,25 |        11.951 |   16.42/(  20 -  1) =   0.86 | F=1.67(153)*10^-2
 |      c__24,12_24,24__32,14_32,23 |        11.857 |   13.57/(  18 -  1) =   0.80 | F=1.35(158)*10^-2
 |      c__24,13_24,24__32,12_32,24 |        11.821 |   16.52/(  20 -  1) =   0.87 | F=2.66(153)*10^-2
 |   csnk__24,12_24,23__32,13_32,25 |        11.779 |   13.63/(  20 -  3) =   0.80 | F=2.43(172)*10^-2; dmf=0.299(302); Ff=-2.76(331)*10^-2
