 |                   fit_name |       quality |   chisq/nDoF                 |
------------------------------------------------------------------------------
e|   csnk_Dt24_5-24_Dt32_3-24 |       0.75362 |   41.13/(  36 -  5) =   1.33 | F=-1.68(53)*10^-2; Ff_Dt24=3.78(2832)*10^1; Ef_Dt24=9.421(7062); Ff_Dt32=3.78(2832)*10^1; Ef_Dt32=9.421(7062)
*|   csnk_Dt24_5-24_Dt32_3-23 |       0.71949 |   41.70/(  35 -  5) =   1.39 | F=-1.74(62)*10^-2; Ff_Dt24=3.37(3119)*10^1; Ef_Dt24=9.368(8631); Ff_Dt32=3.37(3120)*10^1; Ef_Dt32=9.368(8632)
*|      c_Dt24_5-24_Dt32_3-23 |       0.71577 |   47.50/(  35 -  1) =   1.40 | F=-2.07(60)*10^-2
*|   csnk_Dt24_5-24_Dt32_3-25 |       0.68831 |   45.04/(  36 -  5) =   1.45 | F=-1.30(49)*10^-2; Ff_Dt24=5.71(3474)*10^1; Ef_Dt24=9.657(5633); Ff_Dt32=5.71(3474)*10^1; Ef_Dt32=9.657(5633)
*|     c2_Dt24_5-24_Dt32_1-24 |       0.68817 |   40.69/(  37 -  9) =   1.45 | F=-1.39(56)*10^-2; Ff_Dt24=5.53(4501)*10^1; Ef_Dt24=9.783(6986); Fi_Dt24=-0.926(435); Ei_Dt24=1.517(190); Ff_Dt32=5.87(3968)*10^1; Ef_Dt32=9.660(5931); Fi_Dt32=3.34(156)*10^2; Ei_Dt32=4.668(238)
*|     c2_Dt24_5-24_Dt32_2-25 |        0.6835 |   40.97/(  37 -  9) =   1.46 | F=-8.36(557)*10^-3; Ff_Dt24=4.47(2369)*10^1; Ef_Dt24=9.312(4804); Fi_Dt24=-0.729(955); Ei_Dt24=1.246(387); Ff_Dt32=4.47(2368)*10^1; Ef_Dt32=9.312(4803); Fi_Dt32=6.11(2264)*10^3; Ei_Dt32=4.778(1230)
*|      c_Dt24_5-24_Dt32_3-24 |       0.68279 |   51.26/(  36 -  1) =   1.46 | F=-1.50(53)*10^-2
*|     c2_Dt24_5-24_Dt32_1-25 |       0.67393 |   43.03/(  38 -  9) =   1.48 | F=-6.41(573)*10^-3; Ff_Dt24=4.19(2805)*10^1; Ef_Dt24=9.502(5853); Fi_Dt24=-0.220(126); Ei_Dt24=0.920(285); Ff_Dt32=6.21(2467)*10^1; Ef_Dt32=9.380(3658); Fi_Dt32=2.31(201)*10^2; Ei_Dt32=4.881(439)
*|     c2_Dt24_5-24_Dt32_2-24 |       0.66832 |   40.40/(  36 -  9) =   1.50 | F=-1.30(65)*10^-2; Ff_Dt24=4.55(20)*10^1; Ef_Dt24=9.498(1421); Fi_Dt24=-0.669(1090); Ei_Dt24=1.403(653); Ff_Dt32=4.55(20)*10^1; Ef_Dt32=9.498(1421); Fi_Dt32=-4.00(0)*10^4; Ei_Dt32=7.780(1986)
*|     c2_Dt24_5-24_Dt32_3-24 |       0.66452 |   40.63/(  36 -  9) =   1.50 | F=-1.66(53)*10^-2; Ff_Dt24=3.78(236)*10^1; Ef_Dt24=9.421(675); Fi_Dt24=-1.676(2059); Ei_Dt24=1.774(341); Ff_Dt32=3.78(236)*10^1; Ef_Dt32=9.421(675); Fi_Dt32=5.30(3527)*10^2; Ei_Dt32=3.695(1605)
*|      c_Dt24_5-24_Dt32_4-24 |       0.66139 |   51.41/(  35 -  1) =   1.51 | F=-1.72(64)*10^-2
*|   csrc_Dt24_5-24_Dt32_1-23 |       0.65855 |   47.07/(  36 -  5) =   1.52 | F=-1.91(61)*10^-2; Fi_Dt24=-1.676(2758); Ei_Dt24=1.774(600); Fi_Dt32=5.30(2063)*10^2; Ei_Dt32=4.799(2047)
*|     c2_Dt24_5-24_Dt32_3-25 |       0.64905 |   41.60/(  36 -  9) =   1.54 | F=-7.15(618)*10^-3; Ff_Dt24=4.05(207)*10^1; Ef_Dt24=9.206(819); Fi_Dt24=-0.642(2608); Ei_Dt24=1.204(1097); Ff_Dt32=4.05(207)*10^1; Ef_Dt32=9.206(819); Fi_Dt32=5.30(1)*10^2; Ei_Dt32=1.63(193)*10^1
*|   csnk_Dt24_5-24_Dt32_3-26 |        0.6464 |   47.96/(  36 -  5) =   1.55 | F=-2.41(53)*10^-2; Ff_Dt24=2.25(1689)*10^1; Ef_Dt24=8.937(6986); Ff_Dt32=2.25(1689)*10^1; Ef_Dt32=8.937(6987)
*|   csrc_Dt24_5-24_Dt32_2-23 |       0.63736 |   47.07/(  35 -  5) =   1.57 | F=-1.90(62)*10^-2; Fi_Dt24=-1.065(2000); Ei_Dt24=4.523(1962); Fi_Dt32=-1.356(1726); Ei_Dt32=1.713(486)
*|   csrc_Dt24_5-24_Dt32_3-23 |       0.63375 |   47.34/(  35 -  5) =   1.58 | F=-1.90(76)*10^-2; Fi_Dt24=-2.58(11329)*10^-2; Ei_Dt24=0.880(3241); Fi_Dt32=-2.71(11336)*10^-2; Ei_Dt32=0.883(3163)
*|     c2_Dt24_5-24_Dt32_1-26 |       0.60448 |   47.98/(  38 -  9) =   1.65 | F=-2.02(54)*10^-2; Ff_Dt24=4.18(2313)*10^1; Ef_Dt24=9.328(5205); Fi_Dt24=-1.187(362); Ei_Dt24=1.561(127); Ff_Dt32=4.03(2421)*10^1; Ef_Dt32=9.376(5638); Fi_Dt32=4.38(126)*10^2; Ei_Dt32=4.712(147)
*|      c_Dt24_5-24_Dt32_3-26 |       0.60383 |   57.96/(  36 -  1) =   1.66 | F=-2.15(52)*10^-2
*|     c2_Dt24_5-24_Dt32_0-26 |       0.59823 |   50.15/(  39 -  9) =   1.67 | F=2.83(380)*10^-2; Ff_Dt24=-0.111(36); Ef_Dt24=0.185(76); Fi_Dt24=-7.03(359)*10^-2; Ei_Dt24=0.119(74); Ff_Dt32=6.39(2933)*10^1; Ef_Dt32=8.330(4583); Fi_Dt32=-4.03(4073)*10^4; Ei_Dt32=1.78(101)*10^1
*|     c2_Dt24_5-24_Dt32_2-26 |       0.59495 |   47.06/(  37 -  9) =   1.68 | F=-2.07(58)*10^-2; Ff_Dt24=5.62(3960)*10^1; Ef_Dt24=9.704(6213); Fi_Dt24=-5.423(6272); Ei_Dt24=1.927(332); Ff_Dt32=5.56(4043)*10^1; Ef_Dt32=9.725(6391); Fi_Dt32=3.05(771)*10^4; Ei_Dt32=5.172(832)
*|      c_Dt24_5-24_Dt32_5-25 |       0.58815 |   57.81/(  35 -  1) =   1.70 | F=1.94(562)*10^-3
*|     c2_Dt24_5-24_Dt32_3-26 |       0.58483 |   46.17/(  36 -  9) =   1.71 | F=-2.06(59)*10^-2; Ff_Dt24=3.92(20)*10^1; Ef_Dt24=9.455(1501); Fi_Dt24=-6.298(1994); Ei_Dt24=1.933(215); Ff_Dt32=4.37(20)*10^1; Ef_Dt32=9.429(1324); Fi_Dt32=1.26(0)*10^3; Ei_Dt32=8.319(1988)
*|   csnk_Dt24_5-24_Dt32_3-27 |       0.58267 |   54.92/(  37 -  5) =   1.72 | F=-3.08(46)*10^-2; Ff_Dt24=2.61(1972)*10^1; Ef_Dt24=9.062(6794); Ff_Dt32=2.61(1972)*10^1; Ef_Dt32=9.062(6794)
*|      c_Dt24_5-24_Dt32_3-25 |       0.57315 |   61.07/(  36 -  1) =   1.74 | F=-7.52(472)*10^-3
*|     c2_Dt24_5-24_Dt32_1-30 |       0.55993 |   57.15/(  41 -  9) =   1.79 | F=-2.47(51)*10^-2; Ff_Dt24=3.19(1886)*10^1; Ef_Dt24=9.151(5262); Fi_Dt24=-0.354(145); Ei_Dt24=1.060(195); Ff_Dt32=3.19(1886)*10^1; Ef_Dt32=9.151(5263); Fi_Dt32=3.65(154)*10^2; Ei_Dt32=4.874(213)
*|      c_Dt24_5-24_Dt32_3-27 |       0.55048 |   65.40/(  37 -  1) =   1.82 | F=-2.84(45)*10^-2
*|   csnk_Dt24_5-24_Dt32_3-30 |       0.54972 |   61.85/(  39 -  5) =   1.82 | F=-3.21(45)*10^-2; Ff_Dt24=3.40(3033)*10^1; Ef_Dt24=9.454(7655); Ff_Dt32=3.40(3034)*10^1; Ef_Dt32=9.454(7656)
*|     c2_Dt24_5-24_Dt32_1-31 |       0.54801 |   58.39/(  41 -  9) =   1.82 | F=-1.92(46)*10^-2; Ff_Dt24=8.67(6378)*10^1; Ef_Dt24=1.01(64)*10^1; Fi_Dt24=-0.255(106); Ei_Dt24=0.865(207); Ff_Dt32=8.67(6379)*10^1; Ef_Dt32=1.01(64)*10^1; Fi_Dt32=3.29(177)*10^2; Ei_Dt32=4.874(273)
*|     c2_Dt24_5-24_Dt32_2-27 |       0.54781 |   52.94/(  38 -  9) =   1.83 | F=-2.51(58)*10^-2; Ff_Dt24=5.54(3815)*10^1; Ef_Dt24=9.666(5965); Fi_Dt24=-0.515(888); Ei_Dt24=1.205(509); Ff_Dt32=5.52(3848)*10^1; Ef_Dt32=9.674(6036); Fi_Dt32=2.26(4628)*10^2; Ei_Dt32=4.298(5060)
*|     c2_Dt24_5-24_Dt32_1-27 |       0.54592 |   54.95/(  39 -  9) =   1.83 | F=-2.37(47)*10^-2; Ff_Dt24=4.94(2510)*10^1; Ef_Dt24=9.454(4647); Fi_Dt24=-0.536(207); Ei_Dt24=1.257(172); Ff_Dt32=4.94(2510)*10^1; Ef_Dt32=9.454(4647); Fi_Dt32=4.16(151)*10^2; Ei_Dt32=4.852(184)
*|      c_Dt24_5-24_Dt32_9-30 |       0.54448 |   62.44/(  35 -  1) =   1.84 | F=-1.75(54)*10^-2
*|      c_Dt24_5-24_Dt32_3-30 |       0.54434 |   69.81/(  39 -  1) =   1.84 | F=-3.01(45)*10^-2
*|     c2_Dt24_5-24_Dt32_2-31 |       0.54381 |   58.84/(  41 -  9) =   1.84 | F=-1.93(48)*10^-2; Ff_Dt24=4.30(2991)*10^1; Ef_Dt24=9.468(6124); Fi_Dt24=-0.328(385); Ei_Dt24=0.917(365); Ff_Dt32=4.30(2991)*10^1; Ef_Dt32=9.468(6124); Fi_Dt32=2.32(1846)*10^4; Ei_Dt32=5.586(2553)
