 |                    fit_name |       quality |   chisq/nDoF                 |
-------------------------------------------------------------------------------
e|   c2_Dt8_1-7xcsnk_Dt12_2-11 |    7.7127e+06 |   15.01/(  17 -  7) =   1.50 | F=0.790(21); Ff_Dt8=-0.203(14); Ef_Dt8=0.900(75); Fi_Dt8=-0.238(15); Ei_Dt8=0.900(56); Ff_Dt12=-0.211(28); Ef_Dt12=0.714(259)
*|       c2_Dt8_1-7xc_Dt12_2-9 |    2.4722e+06 |   18.71/(  15 -  5) =   1.87 | F=0.784(21); Ff_Dt8=-0.201(13); Ef_Dt8=0.900(58); Fi_Dt8=-0.235(15); Ei_Dt8=0.900(54)
*|      c2_Dt8_1-7xc_Dt12_2-10 |     2.335e+06 |   24.79/(  16 -  5) =   2.25 | F=0.783(21); Ff_Dt8=-0.199(13); Ef_Dt8=0.900(58); Fi_Dt8=-0.232(15); Ei_Dt8=0.900(49)
*|       c2_Dt8_1-7xc_Dt12_2-8 |    1.9885e+06 |   13.58/(  14 -  5) =   1.51 | F=0.789(21); Ff_Dt8=-0.201(13); Ef_Dt8=0.900(85); Fi_Dt8=-0.239(15); Ei_Dt8=0.900(53)
*|       c2_Dt8_1-7xc_Dt12_2-7 |    1.6665e+06 |   13.56/(  13 -  5) =   1.70 | F=0.788(22); Ff_Dt8=-0.201(13); Ef_Dt8=0.900(84); Fi_Dt8=-0.239(15); Ei_Dt8=0.900(53)
*|       c2_Dt8_1-7xc_Dt12_3-9 |    1.5272e+06 |   15.70/(  14 -  5) =   1.74 | F=0.783(21); Ff_Dt8=-0.200(13); Ef_Dt8=0.900(64); Fi_Dt8=-0.238(15); Ei_Dt8=0.900(79)
*|      c2_Dt8_1-7xc_Dt12_3-10 |    1.5157e+06 |   22.50/(  15 -  5) =   2.25 | F=0.781(21); Ff_Dt8=-0.198(13); Ef_Dt8=0.900(64); Fi_Dt8=-0.235(15); Ei_Dt8=0.900(65)
*|     c2_Dt8_1-7xc2_Dt12_1-11 |    1.4704e+06 |   13.13/(  18 -  9) =   1.46 | F=0.789(22); Ff_Dt8=-0.203(14); Ef_Dt8=0.900(107); Fi_Dt8=-0.242(15); Ei_Dt8=0.900(697); Ff_Dt12=-0.221(30); Ef_Dt12=0.550(273); Fi_Dt12=-0.229(32); Ei_Dt12=0.900(96)
*|       c2_Dt8_1-7xc_Dt12_2-6 |    1.2897e+06 |   13.54/(  12 -  5) =   1.93 | F=0.789(22); Ff_Dt8=-0.202(14); Ef_Dt8=0.900(84); Fi_Dt8=-0.238(15); Ei_Dt8=0.900(53)
*|       c2_Dt8_1-7xc_Dt12_3-8 |    1.2221e+06 |   10.39/(  13 -  5) =   1.30 | F=0.787(21); Ff_Dt8=-0.200(13); Ef_Dt8=0.900(100); Fi_Dt8=-0.242(15); Ei_Dt8=0.900(80)
*|      c2_Dt8_1-7xc_Dt12_4-10 |    1.1618e+06 |   22.33/(  14 -  5) =   2.48 | F=0.782(21); Ff_Dt8=-0.199(13); Ef_Dt8=0.900(65); Fi_Dt8=-0.235(15); Ei_Dt8=0.900(71)
*|      c2_Dt8_1-7xc_Dt12_5-10 |    1.0353e+06 |   21.86/(  13 -  5) =   2.73 | F=0.782(21); Ff_Dt8=-0.199(13); Ef_Dt8=0.900(65); Fi_Dt8=-0.235(15); Ei_Dt8=0.900(67)
*|       c2_Dt8_1-7xc_Dt12_3-7 |    1.0229e+06 |   10.34/(  12 -  5) =   1.48 | F=0.786(22); Ff_Dt8=-0.200(13); Ef_Dt8=0.900(98); Fi_Dt8=-0.242(15); Ei_Dt8=0.900(79)
*|       c2_Dt8_1-7xc_Dt12_4-9 |     1.006e+06 |   14.99/(  13 -  5) =   1.87 | F=0.784(21); Ff_Dt8=-0.200(13); Ef_Dt8=0.900(67); Fi_Dt8=-0.238(15); Ei_Dt8=0.900(99)
*|       c2_Dt8_1-7xc_Dt12_5-9 |      9.15e+05 |   14.46/(  12 -  5) =   2.07 | F=0.785(21); Ff_Dt8=-0.201(13); Ef_Dt8=0.900(67); Fi_Dt8=-0.237(15); Ei_Dt8=0.900(91)
 |      c2_Dt8_1-7xc_Dt12_6-10 |    8.2257e+05 |   21.83/(  12 -  5) =   3.12 | F=0.782(21); Ff_Dt8=-0.199(13); Ef_Dt8=0.900(66); Fi_Dt8=-0.235(15); Ei_Dt8=0.900(66)
*|    c2_Dt8_1-7xcsrc_Dt12_1-8 |    8.0502e+05 |   12.96/(  15 -  7) =   1.62 | F=0.784(21); Ff_Dt8=-0.199(13); Ef_Dt8=0.900(100); Fi_Dt8=-0.239(15); Ei_Dt8=0.900(641); Fi_Dt12=-0.229(32); Ei_Dt12=0.900(79)
*|       c2_Dt8_1-7xc_Dt12_4-8 |    7.9551e+05 |    9.79/(  12 -  5) =   1.40 | F=0.789(21); Ff_Dt8=-0.201(13); Ef_Dt8=0.900(106); Fi_Dt8=-0.242(15); Ei_Dt8=0.900(99)
*|       c2_Dt8_1-7xc_Dt12_6-9 |    7.0987e+05 |   14.44/(  11 -  5) =   2.41 | F=0.785(21); Ff_Dt8=-0.200(13); Ef_Dt8=0.900(68); Fi_Dt8=-0.238(15); Ei_Dt8=0.900(90)
*|       c2_Dt8_1-7xc_Dt12_5-8 |    7.0339e+05 |    9.39/(  11 -  5) =   1.57 | F=0.789(21); Ff_Dt8=-0.201(13); Ef_Dt8=0.900(105); Fi_Dt8=-0.242(15); Ei_Dt8=0.900(92)
