 |                      fit_name |       quality |   chisq/nDoF                 |
---------------------------------------------------------------------------------
e|     csnk_Dt8_1-7xc2_Dt12_2-11 |       0.17018 |   10.48/(  17 -  7) =   1.05 | F=-1.52(161)*10^-2; Ff_Dt8=-1.40(136)*10^-2; Ef_Dt8=0.841(618); Ff_Dt12=-2.55(306)*10^-2; Ef_Dt12=0.571(703); Fi_Dt12=-0.130(116); Ei_Dt12=0.700(797)
*|     csnk_Dt8_1-7xc2_Dt12_3-11 |       0.12937 |   10.53/(  16 -  7) =   1.17 | F=-1.56(157)*10^-2; Ff_Dt8=-1.39(136)*10^-2; Ef_Dt8=0.840(765); Ff_Dt12=-2.48(303)*10^-2; Ef_Dt12=0.611(728); Fi_Dt12=-0.168(180); Ei_Dt12=0.900(770)
*|      csnk_Dt8_1-7xc2_Dt12_2-9 |       0.12068 |   10.29/(  15 -  7) =   1.29 | F=-1.42(163)*10^-2; Ff_Dt8=-1.39(137)*10^-2; Ef_Dt8=0.851(696); Ff_Dt12=-0.120(203); Ef_Dt12=0.900(796); Fi_Dt12=-0.126(96); Ei_Dt12=0.644(758)
*|     csnk_Dt8_1-7xc2_Dt12_4-11 |       0.11322 |   10.06/(  15 -  7) =   1.26 | F=-1.51(161)*10^-2; Ff_Dt8=-1.36(137)*10^-2; Ef_Dt8=0.841(612); Ff_Dt12=-2.45(306)*10^-2; Ef_Dt12=0.535(694); Fi_Dt12=-0.493(511); Ei_Dt12=0.900(872)
*|     csnk_Dt8_1-7xc2_Dt12_2-10 |       0.10729 |   10.44/(  16 -  7) =   1.16 | F=-1.47(163)*10^-2; Ff_Dt8=-1.37(137)*10^-2; Ef_Dt8=0.844(758); Ff_Dt12=-4.03(935)*10^-2; Ef_Dt12=0.730(500); Fi_Dt12=-0.130(116); Ei_Dt12=0.701(798)
*|      csnk_Dt8_1-7xc2_Dt12_4-9 |       0.10651 |    9.84/(  13 -  7) =   1.64 | F=-1.41(163)*10^-2; Ff_Dt8=-1.34(137)*10^-2; Ef_Dt8=0.851(493); Ff_Dt12=-0.128(202); Ef_Dt12=0.900(845); Fi_Dt12=-0.536(518); Ei_Dt12=0.900(889)
*|     csnk_Dt8_1-7xc2_Dt12_4-10 |      0.096755 |   10.00/(  14 -  7) =   1.43 | F=-1.45(163)*10^-2; Ff_Dt8=-1.32(138)*10^-2; Ef_Dt8=0.844(533); Ff_Dt12=-4.15(913)*10^-2; Ef_Dt12=0.712(558); Fi_Dt12=-0.500(513); Ei_Dt12=0.900(883)
*|     csnk_Dt8_1-7xc2_Dt12_3-10 |      0.035714 |   10.40/(  15 -  7) =   1.30 | F=-1.48(163)*10^-2; Ff_Dt8=-1.35(138)*10^-2; Ef_Dt8=0.848(502); Ff_Dt12=-4.03(954)*10^-2; Ef_Dt12=0.735(803); Fi_Dt12=-9.02(1622)*10^-2; Ei_Dt12=0.562(728)
*|         c_Dt8_4-7xc2_Dt12_2-9 |       0.03544 |    4.81/(  12 -  5) =   0.69 | F=-4.93(1707)*10^-3; Ff_Dt12=-0.161(206); Ef_Dt12=0.900(884); Fi_Dt12=-0.194(97); Ei_Dt12=0.633(345)
*|         c_Dt8_5-8xc2_Dt12_2-9 |      0.029402 |    4.73/(  11 -  5) =   0.79 | F=-3.54(1777)*10^-3; Ff_Dt12=-0.166(207); Ef_Dt12=0.900(882); Fi_Dt12=-0.192(92); Ei_Dt12=0.610(343)
*|      csrc_Dt8_1-7xc2_Dt12_2-9 |      0.026337 |   10.26/(  15 -  7) =   1.28 | F=-8.88(1969)*10^-3; Fi_Dt8=-1.77(188)*10^-2; Ei_Dt8=0.300(345); Ff_Dt12=-0.159(210); Ef_Dt12=0.900(889); Fi_Dt12=-0.155(115); Ei_Dt12=0.656(761)
