 |                    fit_name |       quality |   chisq/nDoF                 |
-------------------------------------------------------------------------------
e|     c2_Dt8_1-7xc2_Dt12_1-11 |    2.2688e+07 |    4.99/(  18 -  9) =   0.55 | F=1.363(25); Ff_Dt8=-0.108(7); Ef_Dt8=0.693(109); Fi_Dt8=-0.119(7); Ei_Dt8=0.859(131); Ff_Dt12=-0.159(18); Ef_Dt12=0.495(98); Fi_Dt12=-0.121(15); Ei_Dt12=0.802(211)
*|   c2_Dt8_1-6xcsnk_Dt12_3-11 |     1.102e+07 |    8.80/(  15 -  7) =   1.10 | F=1.362(25); Ff_Dt8=-0.139(17); Ef_Dt8=0.900(107); Fi_Dt8=-0.119(7); Ei_Dt8=0.900(103); Ff_Dt12=-0.157(18); Ef_Dt12=0.505(97)
*|     c2_Dt8_1-7xc2_Dt12_1-10 |    7.0696e+06 |    4.77/(  17 -  9) =   0.60 | F=1.363(25); Ff_Dt8=-0.109(7); Ef_Dt8=0.685(111); Fi_Dt8=-0.119(7); Ei_Dt8=0.854(133); Ff_Dt12=-0.147(31); Ef_Dt12=0.451(125); Fi_Dt12=-0.121(15); Ei_Dt12=0.795(212)
*|       c2_Dt8_1-7xc_Dt12_2-7 |    6.0718e+06 |   18.58/(  13 -  5) =   2.32 | F=1.361(25); Ff_Dt8=-0.106(7); Ef_Dt8=0.685(99); Fi_Dt8=-0.119(7); Ei_Dt8=0.900(46)
*|   c2_Dt8_1-7xcsnk_Dt12_3-11 |    3.7414e+06 |    9.07/(  16 -  7) =   1.01 | F=1.363(25); Ff_Dt8=-0.108(7); Ef_Dt8=0.684(94); Fi_Dt8=-0.120(7); Ei_Dt8=0.900(554); Ff_Dt12=-0.157(18); Ef_Dt12=0.512(96)
*|       c2_Dt8_1-7xc_Dt12_3-8 |    2.7707e+06 |   14.52/(  13 -  5) =   1.81 | F=1.353(25); Ff_Dt8=-0.103(7); Ef_Dt8=0.750(105); Fi_Dt8=-0.121(7); Ei_Dt8=0.900(133)
*|       c2_Dt8_1-7xc_Dt12_3-7 |    2.7468e+06 |   10.05/(  12 -  5) =   1.44 | F=1.365(25); Ff_Dt8=-0.104(7); Ef_Dt8=0.700(99); Fi_Dt8=-0.121(7); Ei_Dt8=0.900(156)
*|     c2_Dt8_1-7xc2_Dt12_2-11 |     1.526e+06 |    4.99/(  17 -  9) =   0.62 | F=1.363(26); Ff_Dt8=-0.108(7); Ef_Dt8=0.694(111); Fi_Dt8=-0.119(7); Ei_Dt8=0.861(134); Ff_Dt12=-0.159(18); Ef_Dt12=0.495(98); Fi_Dt12=-0.118(52); Ei_Dt12=0.789(687)
*|       c2_Dt8_1-7xc_Dt12_3-6 |    7.4493e+05 |    7.64/(  11 -  5) =   1.27 | F=1.366(25); Ff_Dt8=-0.108(7); Ef_Dt8=0.705(98); Fi_Dt8=-0.119(7); Ei_Dt8=0.900(585)
*|      c2_Dt8_1-7xc2_Dt12_1-9 |     7.306e+05 |    4.17/(  16 -  9) =   0.60 | F=1.365(26); Ff_Dt8=-0.109(7); Ef_Dt8=0.689(111); Fi_Dt8=-0.119(7); Ei_Dt8=0.856(133); Ff_Dt12=-0.199(95); Ef_Dt12=0.560(211); Fi_Dt12=-0.121(15); Ei_Dt12=0.828(646)
*|       c2_Dt8_1-6xc_Dt12_2-7 |    6.6926e+05 |   18.71/(  12 -  5) =   2.67 | F=1.360(25); Ff_Dt8=-0.134(17); Ef_Dt8=0.900(768); Fi_Dt8=-0.119(7); Ei_Dt8=0.900(29)
*|       c2_Dt8_1-7xc_Dt12_4-7 |    5.4222e+05 |    6.43/(  11 -  5) =   1.07 | F=1.364(26); Ff_Dt8=-0.105(7); Ef_Dt8=0.714(111); Fi_Dt8=-0.121(8); Ei_Dt8=0.896(854)
*|       c2_Dt8_1-6xc_Dt12_3-7 |    4.7528e+05 |    9.78/(  11 -  5) =   1.63 | F=1.364(25); Ff_Dt8=-0.133(17); Ef_Dt8=0.900(768); Fi_Dt8=-0.121(7); Ei_Dt8=0.900(62)
*|       c2_Dt8_1-7xc_Dt12_4-8 |     4.689e+05 |   11.05/(  12 -  5) =   1.58 | F=1.351(25); Ff_Dt8=-0.104(7); Ef_Dt8=0.764(105); Fi_Dt8=-0.121(7); Ei_Dt8=0.900(855)
*|       c2_Dt8_1-6xc_Dt12_3-6 |    3.9614e+05 |    7.46/(  10 -  5) =   1.49 | F=1.366(25); Ff_Dt8=-0.136(17); Ef_Dt8=0.900(768); Fi_Dt8=-0.119(7); Ei_Dt8=0.900(73)
*|       c2_Dt8_1-6xc_Dt12_3-8 |    3.5118e+05 |   14.38/(  12 -  5) =   2.05 | F=1.352(25); Ff_Dt8=-0.124(16); Ef_Dt8=0.900(768); Fi_Dt8=-0.121(7); Ei_Dt8=0.900(70)
*|       c2_Dt8_1-6xc_Dt12_4-7 |    3.1587e+05 |    6.12/(  10 -  5) =   1.22 | F=1.363(25); Ff_Dt8=-0.132(17); Ef_Dt8=0.900(768); Fi_Dt8=-0.121(7); Ei_Dt8=0.900(113)
*|    c2_Dt8_1-7xcsrc_Dt12_1-7 |    1.9871e+05 |    6.72/(  14 -  7) =   0.96 | F=1.364(26); Ff_Dt8=-0.104(7); Ef_Dt8=0.720(112); Fi_Dt8=-0.121(8); Ei_Dt8=0.893(757); Fi_Dt12=-0.123(16); Ei_Dt12=0.892(893)
*|       c2_Dt8_1-6xc_Dt12_4-8 |    1.8106e+05 |   10.90/(  11 -  5) =   1.82 | F=1.351(25); Ff_Dt8=-0.123(16); Ef_Dt8=0.900(768); Fi_Dt8=-0.121(7); Ei_Dt8=0.900(140)
