 |                fit_name |       quality |   chisq/nDoF                 |
---------------------------------------------------------------------------
e|   c_Dt8_1-7xc_Dt12_1-11 |    5.1682e+05 |   21.22/(  18 -  1) =   1.25 | F=0.853(15)
*|   c_Dt8_1-4xc_Dt12_1-11 |     4.989e+05 |   15.09/(  15 -  1) =   1.08 | F=0.856(16)
*|   c_Dt8_1-7xc_Dt12_2-11 |    4.8557e+05 |   20.08/(  17 -  1) =   1.25 | F=0.853(15)
*|   c_Dt8_1-6xc_Dt12_1-11 |    4.6647e+05 |   20.90/(  17 -  1) =   1.31 | F=0.854(15)
*|   c_Dt8_1-7xc_Dt12_1-10 |    4.6335e+05 |   21.04/(  17 -  1) =   1.31 | F=0.853(15)
*|   c_Dt8_2-7xc_Dt12_1-11 |    4.6313e+05 |   21.05/(  17 -  1) =   1.32 | F=0.853(15)
*|   c_Dt8_3-7xc_Dt12_1-11 |    4.5828e+05 |   18.77/(  16 -  1) =   1.25 | F=0.854(16)
*|   c_Dt8_0-3xc_Dt12_1-11 |    4.5403e+05 |   14.37/(  14 -  1) =   1.11 | F=0.857(16)
*|   c_Dt8_1-5xc_Dt12_1-11 |    4.5134e+05 |   19.06/(  16 -  1) =   1.27 | F=0.857(16)
*|   c_Dt8_1-4xc_Dt12_2-11 |    4.4813e+05 |   14.56/(  14 -  1) =   1.12 | F=0.856(16)
*|    c_Dt8_1-7xc_Dt12_1-9 |    4.4412e+05 |   19.37/(  16 -  1) =   1.29 | F=0.854(15)
*|   c_Dt8_1-4xc_Dt12_1-10 |    4.3901e+05 |   14.86/(  14 -  1) =   1.14 | F=0.855(16)
*|   c_Dt8_1-6xc_Dt12_2-11 |    4.3892e+05 |   19.60/(  16 -  1) =   1.31 | F=0.854(15)
*|   c_Dt8_1-7xc_Dt12_3-11 |    4.3158e+05 |   19.93/(  16 -  1) =   1.33 | F=0.854(15)
*|   c_Dt8_1-7xc_Dt12_2-10 |     4.304e+05 |   19.98/(  16 -  1) =   1.33 | F=0.853(15)
*|   c_Dt8_1-7xc_Dt12_2-10 |     4.304e+05 |   19.98/(  16 -  1) =   1.33 | F=0.853(15)
*|   c_Dt8_2-7xc_Dt12_2-11 |    4.2884e+05 |   20.06/(  16 -  1) =   1.34 | F=0.853(16)
*|   c_Dt8_3-7xc_Dt12_2-11 |    4.1993e+05 |   17.92/(  15 -  1) =   1.28 | F=0.855(16)
*|   c_Dt8_1-5xc_Dt12_2-11 |    4.1963e+05 |   17.94/(  15 -  1) =   1.28 | F=0.857(16)
*|   c_Dt8_2-6xc_Dt12_1-11 |     4.171e+05 |   20.62/(  16 -  1) =   1.37 | F=0.854(16)
