 |       fit_name |       quality |   chisq/nDoF                 |
------------------------------------------------------------------
e|      c_Dt8_0-3 |        1548.3 |    0.00/(   3 -  1) =   0.00 | F=-3.57(260)*10^-3
*|   csnk_Dt8_1-4 |        6.9372 |    0.08/(   4 -  3) =   0.08 | F=-3.43(261)*10^-3; Ff_Dt8=-4.46(707)*10^-2; Ef_Dt8=0.900(547)
*|     c2_Dt8_1-6 |        6.8079 |    0.50/(   6 -  5) =   0.50 | F=0.116(35); Ff_Dt8=-9.26(408)*10^-2; Ef_Dt8=4.38(332)*10^-2; Fi_Dt8=-5.48(361)*10^-2; Ei_Dt8=6.03(599)*10^-2
*|      c_Dt8_1-4 |        2.3302 |    0.47/(   4 -  1) =   0.16 | F=-3.55(260)*10^-3
*|      c_Dt8_1-7 |        2.2004 |    1.75/(   7 -  1) =   0.29 | F=-3.41(258)*10^-3
*|   csnk_Dt8_1-6 |        2.0196 |    0.62/(   6 -  3) =   0.21 | F=-2.97(365)*10^-3; Ff_Dt8=-8.11(828)*10^-3; Ef_Dt8=0.354(625)
*|      c_Dt8_1-6 |        1.7462 |    1.58/(   6 -  1) =   0.32 | F=-3.54(260)*10^-3
*|      c_Dt8_2-7 |         1.592 |    1.73/(   6 -  1) =   0.35 | F=-3.68(316)*10^-3
*|      c_Dt8_1-5 |        1.2332 |    1.49/(   5 -  1) =   0.37 | F=-3.57(260)*10^-3
*|      c_Dt8_2-6 |        1.1744 |    1.56/(   5 -  1) =   0.39 | F=-3.76(316)*10^-3
*|      c_Dt8_3-7 |        1.1038 |    1.66/(   5 -  1) =   0.42 | F=-3.27(353)*10^-3
*|      c_Dt8_2-5 |       0.74731 |    1.48/(   4 -  1) =   0.49 | F=-3.79(317)*10^-3
*|      c_Dt8_3-6 |       0.73342 |    1.50/(   4 -  1) =   0.50 | F=-3.36(354)*10^-3
*|      c_Dt8_4-7 |       0.67393 |    1.64/(   4 -  1) =   0.55 | F=-2.98(393)*10^-3
