 |       fit_name |       quality |   chisq/nDoF                 |
------------------------------------------------------------------
e|     c2_Dt8_1-7 |       0.37093 |    3.45/(   7 -  5) =   1.72 | F=-4.20(2560)*10^-4; Ff_Dt8=4.35(412)*10^-3; Ef_Dt8=0.894(862); Fi_Dt8=-2.48(404)*10^-3; Ei_Dt8=0.900(828)
*|   csnk_Dt8_2-7 |       0.19495 |    2.71/(   6 -  3) =   0.90 | F=-2.93(2309)*10^-4; Ff_Dt8=4.40(409)*10^-3; Ef_Dt8=0.895(895)
*|   csnk_Dt8_2-6 |       0.15267 |    2.29/(   5 -  3) =   1.15 | F=-9.52(2403)*10^-4; Ff_Dt8=1.02(98)*10^-2; Ef_Dt8=0.900(728)
*|   csrc_Dt8_1-5 |      0.040894 |    2.22/(   5 -  3) =   1.11 | F=-1.05(242)*10^-3; Fi_Dt8=-2.23(397)*10^-3; Ei_Dt8=0.900(845)
*|      c_Dt8_2-5 |      0.027147 |    1.46/(   4 -  1) =   0.49 | F=-8.67(2209)*10^-4
*|      c_Dt8_1-5 |      0.026139 |    2.53/(   5 -  1) =   0.63 | F=-1.80(202)*10^-3
*|      c_Dt8_1-7 |      0.025273 |    5.50/(   7 -  1) =   0.92 | F=-1.10(1760)*10^-4
*|      c_Dt8_2-7 |      0.024635 |    4.03/(   6 -  1) =   0.81 | F=8.53(1930)*10^-4
*|      c_Dt8_1-6 |      0.021126 |    4.70/(   6 -  1) =   0.94 | F=-5.16(1817)*10^-4
*|      c_Dt8_2-6 |      0.019611 |    3.38/(   5 -  1) =   0.84 | F=4.38(1997)*10^-4
*|      c_Dt8_3-7 |      0.016707 |    3.96/(   5 -  1) =   0.99 | F=6.75(2047)*10^-4
*|      c_Dt8_1-4 |      0.015747 |    2.52/(   4 -  1) =   0.84 | F=-1.75(209)*10^-3
*|      c_Dt8_3-6 |      0.012196 |    3.26/(   4 -  1) =   1.09 | F=1.85(2128)*10^-4
*|      c_Dt8_4-7 |      0.010981 |    3.62/(   4 -  1) =   1.21 | F=3.90(2103)*10^-4
*|      c_Dt8_0-3 |       0.00849 |    2.34/(   3 -  1) =   1.17 | F=-1.32(231)*10^-3
*|      c_Dt8_5-8 |      0.007316 |    2.72/(   3 -  1) =   1.36 | F=-2.66(2214)*10^-4
