 |                   fit_name |       quality |   chisq/nDoF                 |
------------------------------------------------------------------------------
e|    c_Dt8_1-7xcsnk_Dt12_3-8 |        1.8725 |    8.38/(  13 -  3) =   0.84 | F=-3.03(255)*10^-3; Ff_Dt12=0.215(151); Ef_Dt12=0.900(658)
*|    c_Dt8_1-6xcsnk_Dt12_3-8 |        1.8059 |    7.66/(  12 -  3) =   0.85 | F=-3.37(258)*10^-3; Ff_Dt12=0.232(152); Ef_Dt12=0.900(663)
*|    c_Dt8_2-7xcsnk_Dt12_3-8 |         1.588 |    8.32/(  12 -  3) =   0.92 | F=-3.46(313)*10^-3; Ff_Dt12=0.219(152); Ef_Dt12=0.900(657)
*|    c_Dt8_2-6xcsnk_Dt12_3-8 |        1.4837 |    7.63/(  11 -  3) =   0.95 | F=-3.69(314)*10^-3; Ff_Dt12=0.234(153); Ef_Dt12=0.900(664)
*|    c_Dt8_1-5xcsnk_Dt12_3-8 |        1.4641 |    7.65/(  11 -  3) =   0.96 | F=-3.37(259)*10^-3; Ff_Dt12=0.236(157); Ef_Dt12=0.900(663)
*|    c_Dt8_3-7xcsnk_Dt12_3-8 |         1.286 |    8.27/(  11 -  3) =   1.03 | F=-3.11(352)*10^-3; Ff_Dt12=0.217(152); Ef_Dt12=0.900(659)
*|    c_Dt8_1-4xcsnk_Dt12_3-8 |        1.2271 |    7.05/(  10 -  3) =   1.01 | F=-3.41(259)*10^-3; Ff_Dt12=0.228(157); Ef_Dt12=0.900(656)
*|    c_Dt8_2-5xcsnk_Dt12_3-8 |        1.1745 |    7.62/(  10 -  3) =   1.09 | F=-3.68(314)*10^-3; Ff_Dt12=0.239(157); Ef_Dt12=0.900(664)
*|    c_Dt8_3-6xcsnk_Dt12_3-8 |        1.1737 |    7.59/(  10 -  3) =   1.08 | F=-3.35(353)*10^-3; Ff_Dt12=0.232(153); Ef_Dt12=0.900(666)
*|    c_Dt8_4-7xcsnk_Dt12_3-8 |       0.99657 |    8.17/(  10 -  3) =   1.17 | F=-3.62(386)*10^-3; Ff_Dt12=0.212(153); Ef_Dt12=0.900(667)
*|    c_Dt8_5-8xcsnk_Dt12_3-8 |       0.98277 |    6.42/(   9 -  3) =   1.07 | F=-5.92(424)*10^-3; Ff_Dt12=0.215(153); Ef_Dt12=0.900(675)
*|    c_Dt8_0-3xcsnk_Dt12_3-8 |       0.89531 |    6.38/(   9 -  3) =   1.06 | F=-3.46(259)*10^-3; Ff_Dt12=0.204(160); Ef_Dt12=0.900(677)
*|      c_Dt8_1-7xc_Dt12_8-11 |       0.85007 |    3.61/(  11 -  1) =   0.36 | F=-3.38(257)*10^-3
*|      c_Dt8_1-7xc_Dt12_9-12 |       0.75974 |    3.30/(  10 -  1) =   0.37 | F=-3.39(257)*10^-3
*|      c_Dt8_1-6xc_Dt12_8-11 |       0.73519 |    3.41/(  10 -  1) =   0.38 | F=-3.51(259)*10^-3
*|      c_Dt8_2-7xc_Dt12_8-11 |       0.71142 |    3.52/(  10 -  1) =   0.39 | F=-3.88(312)*10^-3
*|      c_Dt8_1-6xc_Dt12_9-12 |       0.64601 |    3.11/(   9 -  1) =   0.39 | F=-3.52(259)*10^-3
*|   csnk_Dt8_1-4xc_Dt12_1-11 |       0.63481 |   11.87/(  15 -  3) =   0.99 | F=-2.99(257)*10^-3; Ff_Dt8=-6.16(645)*10^-2; Ef_Dt8=0.900(752)
*|      c_Dt8_1-7xc_Dt12_1-11 |       0.62244 |   13.70/(  18 -  1) =   0.81 | F=-2.71(254)*10^-3
*|      c_Dt8_2-7xc_Dt12_9-12 |       0.62025 |    3.23/(   9 -  1) =   0.40 | F=-3.84(312)*10^-3
