 |      fit_name |       quality |   chisq/nDoF                 |
-----------------------------------------------------------------
e|   c_Dt32_1-31 |       0.77387 |   38.84/(  31 -  1) =   1.29 | F=1.11(397)*10^-3
*|   c_Dt32_2-31 |       0.73525 |   37.01/(  30 -  1) =   1.28 | F=-2.05(4092)*10^-4
*|   c_Dt32_1-30 |       0.70508 |   38.59/(  30 -  1) =   1.33 | F=1.34(400)*10^-3
*|   c_Dt32_3-31 |       0.69694 |   35.22/(  29 -  1) =   1.26 | F=7.36(4152)*10^-4
*|   c_Dt32_1-27 |       0.68043 |   29.04/(  27 -  1) =   1.12 | F=3.29(408)*10^-3
*|   c_Dt32_2-30 |       0.66662 |   36.83/(  29 -  1) =   1.32 | F=9.60(412287)*10^-6
*|   c_Dt32_1-29 |       0.65304 |   37.59/(  29 -  1) =   1.34 | F=1.92(404)*10^-3
*|   c_Dt32_1-26 |       0.64241 |   27.42/(  26 -  1) =   1.10 | F=2.20(416)*10^-3
*|   c_Dt32_2-27 |       0.63313 |   27.83/(  26 -  1) =   1.11 | F=2.12(421)*10^-3
*|   c_Dt32_3-30 |       0.62835 |   35.12/(  28 -  1) =   1.30 | F=8.81(4177)*10^-4
*|   c_Dt32_4-31 |       0.62765 |   35.16/(  28 -  1) =   1.30 | F=8.61(4181)*10^-4
*|   c_Dt32_2-29 |       0.61338 |   35.98/(  28 -  1) =   1.33 | F=6.04(4173)*10^-4
*|   c_Dt32_3-27 |       0.60366 |   25.90/(  25 -  1) =   1.08 | F=3.08(427)*10^-3
*|   c_Dt32_2-26 |       0.59818 |   26.14/(  25 -  1) =   1.09 | F=9.71(4304)*10^-4
*|   c_Dt32_1-28 |       0.58717 |   37.58/(  28 -  1) =   1.39 | F=1.94(405)*10^-3
*|   c_Dt32_3-29 |       0.57745 |   34.22/(  27 -  1) =   1.32 | F=1.51(423)*10^-3
*|   c_Dt32_1-25 |       0.57097 |   27.39/(  25 -  1) =   1.14 | F=2.32(421)*10^-3
*|   c_Dt32_3-26 |       0.56993 |   24.23/(  24 -  1) =   1.05 | F=1.93(436)*10^-3
*|   c_Dt32_6-31 |       0.56945 |   30.94/(  26 -  1) =   1.24 | F=-3.39(4278)*10^-4
*|   c_Dt32_4-30 |       0.56375 |   35.05/(  27 -  1) =   1.35 | F=1.02(421)*10^-3
