 |      fit_name |       quality |   chisq/nDoF                 |
-----------------------------------------------------------------
e|   c_Dt32_1-31 |        0.1681 |   42.95/(  31 -  1) =   1.43 | F=-4.51(753)*10^-3
*|   c_Dt32_2-31 |       0.15299 |   42.73/(  30 -  1) =   1.47 | F=-3.98(761)*10^-3
*|   c_Dt32_1-30 |        0.1527 |   42.81/(  30 -  1) =   1.48 | F=-5.13(770)*10^-3
*|   c_Dt32_3-31 |       0.14167 |   41.63/(  29 -  1) =   1.49 | F=-2.93(768)*10^-3
*|   c_Dt32_1-29 |       0.13985 |   42.17/(  29 -  1) =   1.51 | F=-3.61(794)*10^-3
*|   c_Dt32_2-30 |       0.13849 |   42.59/(  29 -  1) =   1.52 | F=-4.59(779)*10^-3
*|   c_Dt32_4-31 |       0.13811 |   38.39/(  28 -  1) =   1.42 | F=-3.64(769)*10^-3
*|   c_Dt32_3-30 |       0.12767 |   41.52/(  28 -  1) =   1.54 | F=-3.48(786)*10^-3
*|   c_Dt32_1-28 |        0.1268 |   41.81/(  28 -  1) =   1.55 | F=-2.67(809)*10^-3
*|   c_Dt32_2-29 |       0.12623 |   42.00/(  28 -  1) =   1.56 | F=-3.19(800)*10^-3
*|   c_Dt32_5-31 |       0.12415 |   38.23/(  27 -  1) =   1.47 | F=-4.08(777)*10^-3
*|   c_Dt32_4-30 |       0.12409 |   38.25/(  27 -  1) =   1.47 | F=-4.26(787)*10^-3
*|   c_Dt32_7-31 |        0.1221 |   30.77/(  25 -  1) =   1.28 | F=-4.77(796)*10^-3
*|   c_Dt32_6-31 |       0.12014 |   35.23/(  26 -  1) =   1.41 | F=-6.62(791)*10^-3
*|   c_Dt32_1-27 |       0.11825 |   40.14/(  27 -  1) =   1.54 | F=-3.79(814)*10^-3
*|   c_Dt32_3-29 |       0.11635 |   40.80/(  27 -  1) =   1.57 | F=-1.85(809)*10^-3
*|   c_Dt32_2-28 |       0.11408 |   41.61/(  27 -  1) =   1.60 | F=-2.18(816)*10^-3
*|   c_Dt32_4-29 |       0.11206 |   37.77/(  26 -  1) =   1.51 | F=-2.90(812)*10^-3
*|   c_Dt32_8-31 |       0.11182 |   29.67/(  24 -  1) =   1.29 | F=-3.20(810)*10^-3
*|   c_Dt32_5-30 |        0.1111 |   38.10/(  26 -  1) =   1.52 | F=-4.73(796)*10^-3
