## Q  Q_E  F  F_E

## irrep=H0D2A2r1_p110__T1r1_p000__H0D2A2r1_p110
0  0  1.21343  0.0121806


## irrep=H0D2A2r1_p110__T1r2_p000__H0D2A2r1_p110
0  0  1.19828  0.0149151


## irrep=H0D2A2r1_p110__T1r3_p000__H0D2A2r1_p110
0  0  1.21343  0.012179


## irrep=H0D3A2r1_p111__T1r1_p000__H0D3A2r1_p111
0  0  1.19811  0.0168787


## irrep=H0D3A2r1_p111__T1r2_p000__H0D3A2r1_p111
0  0  1.15604  0.022969


## irrep=H0D3A2r1_p111__T1r3_p000__H0D3A2r1_p111
0  0  1.19811  0.0168787


## irrep=H0D4A2r1_p100__T1r1_p000__H0D4A2r1_p100
0  0  1.21213  0.0115794


## irrep=H0D4A2r1_p100__T1r2_p000__H0D4A2r1_p100
0  0  1.21072  0.0131894


## irrep=H0D4A2r1_p100__T1r3_p000__H0D4A2r1_p100
0  0  1.21213  0.0115794


