## Q  Q_E  F  F_E

## irrep=H0D2A2r1_p110__T1r1_p000__H0D2A2r1_p110
0  0  0.824107  0.00827429


## irrep=H0D2A2r1_p110__T1r2_p000__H0D2A2r1_p110
0  0  0.834529  0.0103898


## irrep=H0D2A2r1_p110__T1r3_p000__H0D2A2r1_p110
0  0  0.824107  0.00827315


## irrep=H0D3A2r1_p111__T1r1_p000__H0D3A2r1_p111
0  0  0.834651  0.0117614


## irrep=H0D3A2r1_p111__T1r2_p000__H0D3A2r1_p111
0  0  0.865022  0.0171935


## irrep=H0D3A2r1_p111__T1r3_p000__H0D3A2r1_p111
0  0  0.834651  0.0117615


## irrep=H0D4A2r1_p100__T1r1_p000__H0D4A2r1_p100
0  0  0.824994  0.00788303


## irrep=H0D4A2r1_p100__T1r2_p000__H0D4A2r1_p100
0  0  0.825954  0.00900131


## irrep=H0D4A2r1_p100__T1r3_p000__H0D4A2r1_p100
0  0  0.824994  0.00788305


