 |                       fit_name |       quality |   chisq/nDoF                 |
----------------------------------------------------------------------------------
e|     c2__24,0_24,22__32,0_32,27 |        13.131 |   45.93/(  47 -  5) =   1.09 | F=0.992(9); dmf=0.139(5); Ff=-0.637(9); dmi=0.184(12); Fi=0.260(9)
 |     c2__24,0_24,22__32,0_32,26 |        11.634 |   45.68/(  46 -  5) =   1.11 | F=0.992(9); dmf=0.139(5); Ff=-0.637(9); dmi=0.185(12); Fi=0.260(9)
 |     c2__24,0_24,22__32,0_32,25 |        10.029 |   45.59/(  45 -  5) =   1.14 | F=0.992(9); dmf=0.139(5); Ff=-0.637(9); dmi=0.186(12); Fi=0.260(9)
 |     c2__24,0_24,22__32,0_32,24 |        8.5712 |   45.50/(  44 -  5) =   1.17 | F=0.992(9); dmf=0.139(5); Ff=-0.637(9); dmi=0.185(12); Fi=0.260(9)
 |     c2__24,0_24,22__32,0_32,28 |        8.2859 |   50.82/(  48 -  5) =   1.18 | F=0.992(9); dmf=0.138(5); Ff=-0.638(9); dmi=0.181(12); Fi=0.257(9)
 |     c2__24,0_24,22__32,0_32,23 |        7.2027 |   45.45/(  43 -  5) =   1.20 | F=0.992(9); dmf=0.139(5); Ff=-0.636(9); dmi=0.184(13); Fi=0.260(9)
 |     c2__24,0_24,22__32,0_32,22 |        6.1109 |   45.26/(  42 -  5) =   1.22 | F=0.991(9); dmf=0.139(5); Ff=-0.635(9); dmi=0.183(13); Fi=0.260(9)
 |      c2__24,0_24,22__32,0_32,4 |    0.00026902 |   56.40/(  24 -  5) =   2.97 | F=-1.47(0)*10^1; dmf=0.382(43); Ff=-0.354(36); dmi=1.51(3)*10^-3; Fi=1.59(0)*10^1
 |     c2__24,0_24,22__32,0_32,10 |    1.0116e-07 |   89.08/(  30 -  5) =   3.56 | F=-1.68(0)*10^4; dmf=0.154(17); Ff=-0.310(19); dmi=1.12(6)*10^-6; Fi=1.68(0)*10^4
 |    csnk__24,0_24,22__32,0_32,4 |    3.2178e-16 |  129.04/(  24 -  3) =   6.14 | F=1.315(15); dmf=6.47(24)*10^-2; Ff=-0.883(11)
 |    csnk__24,0_24,22__32,0_32,5 |    3.9792e-23 |  168.00/(  25 -  3) =   7.64 | F=1.281(13); dmf=6.98(24)*10^-2; Ff=-0.857(9)
