 |           fit_name |       quality |   chisq/nDoF                 |
----------------------------------------------------------------------
e|     c2__24,5_24,24 |    2.2296e+05 |   12.53/(  18 -  5) =   0.96 | F=-1.138(16); dmf=0.183(10); Ff=-0.447(15); dmi=6.49(44)*10^-3; Fi=2.260(16)
 |     c2__24,4_24,24 |    2.1676e+05 |   13.44/(  19 -  5) =   0.96 | F=-1.047(16); dmf=0.192(10); Ff=-0.430(14); dmi=7.36(45)*10^-3; Fi=2.177(16)
 |     c2__24,5_24,20 |         28787 |    8.48/(  14 -  5) =   0.94 | F=-1.496(21); dmf=0.338(50); Ff=-0.605(113); dmi=7.57(49)*10^-3; Fi=2.636(21)
 |     c2__24,4_24,23 |         16848 |   13.26/(  18 -  5) =   1.02 | F=-0.180(17); dmf=0.187(13); Ff=-0.444(15); dmi=1.25(9)*10^-2; Fi=1.312(17)
 |     c2__24,5_24,23 |         14544 |   12.38/(  17 -  5) =   1.03 | F=-0.178(17); dmf=0.176(11); Ff=-0.464(17); dmi=1.12(9)*10^-2; Fi=1.302(18)
 |     c2__24,4_24,18 |          6342 |    6.00/(  13 -  5) =   0.75 | F=-1.832(23); dmf=0.752(163); Ff=-7.808(8563); dmi=7.34(29)*10^-3; Fi=2.984(23)
 |     c2__24,4_24,20 |        5011.8 |    8.41/(  15 -  5) =   0.84 | F=-0.365(21); dmf=0.332(46); Ff=-0.616(109); dmi=1.40(9)*10^-2; Fi=1.512(22)
 |     c2__24,5_24,17 |          2014 |    3.55/(  11 -  5) =   0.59 | F=-1.499(27); dmf=4.074(259); Ff=-3.07(631)*10^12; dmi=8.50(34)*10^-3; Fi=2.656(27)
*|     c2__24,4_24,11 |        1049.6 |    0.06/(   6 -  5) =   0.06 | F=-0.750(35); dmf=0.161(309); Ff=-9.16(4018)*10^-2; dmi=1.11(27)*10^-2; Fi=1.901(35)
 |     c2__24,5_24,22 |        897.34 |   11.02/(  16 -  5) =   1.00 | F=-1.63(183)*10^-2; dmf=0.206(18); Ff=-0.458(17); dmi=1.51(13)*10^-2; Fi=1.147(19)
*|   csrc__24,5_24,11 |        254.24 |    0.04/(   5 -  3) =   0.02 | F=5.31(494)*10^-2; dmi=2.23(28)*10^-2; Fi=1.109(50)
 |   csrc__24,1_24,11 |        190.92 |    1.28/(   9 -  3) =   0.21 | F=0.815(65); dmi=0.120(37); Fi=0.426(47)
 |     c2__24,5_24,21 |        133.08 |   10.09/(  15 -  5) =   1.01 | F=-5.49(1978)*10^-3; dmf=0.244(27); Ff=-0.480(32); dmi=1.70(14)*10^-2; Fi=1.144(21)
 |   csrc__24,0_24,11 |        100.21 |    2.07/(  10 -  3) =   0.30 | F=0.768(73); dmi=9.64(260)*10^-2; Fi=0.458(65)
 |   csrc__24,2_24,11 |        62.803 |    1.15/(   8 -  3) =   0.23 | F=0.793(104); dmi=0.107(50); Fi=0.438(74)
 |     c2__24,4_24,21 |        61.859 |   10.22/(  16 -  5) =   0.93 | F=-2.28(1964)*10^-3; dmf=0.254(28); Ff=-0.482(34); dmi=1.77(13)*10^-2; Fi=1.145(21)
 |     c2__24,5_24,19 |        31.109 |    6.81/(  13 -  5) =   0.85 | F=-9.37(2350)*10^-3; dmf=0.433(71); Ff=-1.097(401); dmi=2.01(13)*10^-2; Fi=1.166(25)
 |     c2__24,1_24,16 |        23.206 |    9.33/(  14 -  5) =   1.04 | F=0.491(131); dmf=3.288(25701); Ff=3.427(1762); dmi=4.73(129)*10^-2; Fi=0.714(121)
 |   csrc__24,3_24,11 |        11.304 |    1.08/(   7 -  3) =   0.27 | F=0.758(208); dmi=9.11(767)*10^-2; Fi=0.459(153)
 |     c2__24,0_24,16 |        8.8525 |    9.61/(  15 -  5) =   0.96 | F=0.526(93); dmf=2.021(1204); Ff=2.650(8283); dmi=5.12(105)*10^-2; Fi=0.684(87)
