 |              fit_name |       quality |   chisq/nDoF                 |
-------------------------------------------------------------------------
e|   cnst_one_exp_tmin19 |       0.99945 |    0.02/(   6 -  3) =   0.01 | A=1.628(15); m=1.207(1269); B=1.30(1838)*10^4
*|           cnst_tmin21 |       0.99899 |    0.02/(   4 -  1) =   0.01 | A=1.629(14)
*|           cnst_tmin20 |        0.9986 |    0.11/(   5 -  1) =   0.03 | A=1.630(14)
*|   cnst_one_exp_tmin20 |       0.99197 |    0.02/(   5 -  3) =   0.01 | A=1.628(15); m=1.009(2567); B=1.00(3007)*10^3
*|           cnst_tmin18 |       0.96778 |    1.37/(   7 -  1) =   0.23 | A=1.631(14)
*|           cnst_tmin14 |       0.94117 |    4.13/(  11 -  1) =   0.41 | A=1.624(12)
*|           cnst_tmin19 |       0.93221 |    1.33/(   6 -  1) =   0.27 | A=1.632(14)
*|           cnst_tmin15 |        0.9288 |    3.72/(  10 -  1) =   0.41 | A=1.625(12)
*|   cnst_one_exp_tmin13 |       0.90218 |    4.14/(  12 -  3) =   0.46 | A=1.624(12); m=6.233(486); B=1.51(429)*10^14
*|   cnst_one_exp_tmin21 |       0.89934 |    0.02/(   4 -  3) =   0.02 | A=1.628(17); m=0.700(5793); B=1.29(8997)*10^1
*|   cnst_one_exp_tmin18 |       0.89386 |    1.10/(   7 -  3) =   0.28 | A=1.626(29); m=0.191(918); B=5.68(4117)*10^-2
*|           cnst_tmin16 |       0.88352 |    3.70/(   9 -  1) =   0.46 | A=1.625(12)
*|           cnst_tmin12 |       0.88025 |    6.64/(  13 -  1) =   0.55 | A=1.628(12)
*|   cnst_one_exp_tmin14 |       0.84497 |    4.13/(  11 -  3) =   0.52 | A=1.624(1); m=2.455(94622); B=1.309(234428169)
*|   cnst_two_exp_tmin12 |       0.84452 |    4.14/(  13 -  5) =   0.52 | A=1.624(12); m=6.634(105); B=5.34(2)*10^15; dm=0.377(1); C=-3.51(1)*10^16
*|           cnst_tmin13 |       0.82758 |    6.64/(  12 -  1) =   0.60 | A=1.628(12)
*|   cnst_one_exp_tmin11 |       0.82696 |    6.65/(  14 -  3) =   0.60 | A=1.628(12); m=4.999(2717); B=8.74(9489)*10^6
*|           cnst_tmin17 |        0.8224 |    3.62/(   8 -  1) =   0.52 | A=1.626(13)
*|    cnst_two_exp_tmin5 |       0.82042 |    9.16/(  19 -  5) =   0.65 | A=1.623(12); m=0.574(135); B=3.01(1)*10^1; dm=9.25(320)*10^-4; C=-3.00(1)*10^1
*|   cnst_one_exp_tmin15 |        0.8113 |    3.72/(  10 -  3) =   0.53 | A=1.625(12); m=2.173(2000); B=0.400(2000)
*|    cnst_one_exp_tmin8 |        0.8076 |    9.36/(  17 -  3) =   0.67 | A=1.624(13); m=0.439(159); B=0.109(47)
*|   cnst_one_exp_tmin10 |       0.79887 |    7.82/(  15 -  3) =   0.65 | A=1.625(12); m=0.663(305); B=0.270(248)
*|    cnst_two_exp_tmin6 |       0.78947 |    8.78/(  18 -  5) =   0.68 | A=1.625(13); m=0.649(180); B=2.273(197); dm=2.09(149)*10^-2; C=-2.188(197)
*|    cnst_one_exp_tmin6 |       0.78918 |   10.47/(  18 -  3) =   0.70 | A=1.621(13); m=0.343(121); B=6.73(182)*10^-2
*|   cnst_one_exp_tmin12 |       0.77909 |    6.42/(  13 -  3) =   0.64 | A=1.627(13); m=0.693(1128); B=0.137(754)
*|    cnst_one_exp_tmin9 |       0.76061 |    9.16/(  16 -  3) =   0.70 | A=1.624(13); m=0.477(192); B=0.124(64)
*|   cnst_two_exp_tmin13 |       0.73208 |    4.41/(  12 -  5) =   0.63 | A=1.624(12); m=2.194(108); B=4.67(304)*10^3; dm=8.055(1405); C=-0.696(1414)
*|   cnst_one_exp_tmin16 |       0.71784 |    3.70/(   9 -  3) =   0.62 | A=1.625(12); m=4.824(1414); B=1.249(1414)
*|   cnst_two_exp_tmin14 |       0.71328 |    3.73/(  11 -  5) =   0.62 | A=1.625(2); m=1.275(38); B=-2.90(73)*10^1; dm=2.653(261425026); C=0.400(-2147483648)
*|    cnst_two_exp_tmin8 |       0.68905 |    9.16/(  17 -  5) =   0.76 | A=1.624(13); m=0.477(192); B=0.124(64); dm=9.324(10241); C=-2.46(3912)*10^2
*|   cnst_two_exp_tmin11 |       0.67363 |    6.65/(  14 -  5) =   0.74 | A=1.628(12); m=4.331(1085); B=-2.00(306)*10^6; dm=2.28(3150569)*10^-4; C=2.61(305)*10^6
*|   cnst_two_exp_tmin10 |       0.64621 |    7.82/(  15 -  5) =   0.78 | A=1.625(12); m=0.663(299); B=0.270(235); dm=1.48(20)*10^1; C=-1.37(0)*10^7
*|   cnst_two_exp_tmin17 |       0.62939 |    1.73/(   8 -  5) =   0.58 | A=1.628(13); m=1.216(74); B=-1.30(96)*10^3; dm=7.936(1405); C=0.222(1414)
*|    cnst_one_exp_tmin4 |       0.61356 |   14.75/(  20 -  3) =   0.87 | A=1.620(14); m=0.267(80); B=4.60(148)*10^-2
*|   cnst_one_exp_tmin17 |       0.60537 |    3.62/(   8 -  3) =   0.72 | A=1.626(13); m=5.126(1414); B=1.025(1414)
*|    cnst_one_exp_tmin5 |       0.59251 |   14.08/(  19 -  3) =   0.88 | A=1.619(14); m=0.222(87); B=4.48(147)*10^-2
*|   cnst_two_exp_tmin15 |       0.59167 |    3.71/(  10 -  5) =   0.74 | A=1.625(13); m=1.151(895); B=-1.06(20)*10^1; dm=2.639(1894); C=0.400(2000)
*|   cnst_two_exp_tmin16 |       0.56142 |    2.98/(   9 -  5) =   0.74 | A=1.630(14); m=0.620(840); B=6.54(452)*10^3; dm=4.97(566510)*10^-7; C=-6.54(452)*10^3
*|   cnst_two_exp_tmin18 |       0.50913 |    1.35/(   7 -  5) =   0.68 | A=1.631(0); m=1.248(1); B=7.06(3)*10^2; dm=2.415(57488653); C=0.400(-2147483648)
*|           cnst_tmin11 |       0.45807 |   12.87/(  14 -  1) =   0.99 | A=1.629(12)
*|            cnst_tmin8 |       0.39101 |   16.92/(  17 -  1) =   1.06 | A=1.628(12)
*|            cnst_tmin9 |       0.35223 |   16.46/(  16 -  1) =   1.10 | A=1.629(12)
*|           cnst_tmin10 |         0.341 |   15.56/(  15 -  1) =   1.11 | A=1.629(12)
*|    cnst_two_exp_tmin9 |       0.15653 |   15.60/(  16 -  5) =   1.42 | A=1.629(7); m=5.952(517); B=1.69(127)*10^3; dm=0.195(82412); C=-3.14(30115)*10^2
*|            cnst_tmin6 |        0.1089 |   24.40/(  18 -  1) =   1.44 | A=1.638(11)
*|    cnst_two_exp_tmin4 |       0.10871 |   21.97/(  20 -  5) =   1.46 | A=1.634(12); m=1.079(0); B=5.76(269)*10^-3; dm=1.239(0); C=-6.41(563)*10^-5
*|    cnst_two_exp_tmin1 |       0.10808 |   25.65/(  23 -  5) =   1.42 | A=2.92(0)*10^2; m=-7.87(276)*10^-6; B=-2.90(0)*10^2; dm=1.019(26); C=1.48(25)*10^-3
*|    cnst_two_exp_tmin3 |       0.10476 |   23.35/(  21 -  5) =   1.46 | A=1.638(11); m=1.128(0); B=2.48(45)*10^-3; dm=2.285(0); C=-1.21(39)*10^-7
*|            cnst_tmin5 |      0.064211 |   27.86/(  19 -  1) =   1.55 | A=1.645(11)
*|    cnst_two_exp_tmin2 |      0.011897 |   32.81/(  22 -  5) =   1.93 | A=1.649(10); m=1.149(0); B=1.09(10)*10^-3; dm=2.351(0); C=-2.06(62)*10^-9
 |    cnst_one_exp_tmin3 |    0.00040572 |   45.06/(  21 -  3) =   2.50 | A=1.658(10); m=1.892(0); B=4.54(43)*10^-5
 |            cnst_tmin4 |    1.0794e-05 |   57.16/(  20 -  1) =   3.01 | A=1.664(10)
 |    cnst_one_exp_tmin2 |    1.7824e-12 |   97.11/(  22 -  3) =   5.11 | A=1.675(10); m=1.914(0); B=1.37(5)*10^-5
